date,am_slots,pm_slots,busy
2026-01-05,2,2,0
2026-01-06,2,2,0
2026-01-07,2,2,0
2026-01-08,2,2,0
2026-01-09,2,2,0
2026-01-10,3,3,0
2026-01-11,3,3,0
2026-01-12,3,3,0
2026-01-13,3,3,0
2026-01-14,3,3,0
2026-01-15,3,3,0
2026-01-16,3,3,0
2026-01-17,4,4,1
2026-01-18,4,4,1
2026-01-19,4,4,1
2026-01-20,4,4,1
2026-01-21,4,4,1
2026-01-22,4,4,1
2026-01-23,4,4,1
2026-01-24,4,4,1
2026-01-25,4,4,1
2026-01-26,4,4,1
2026-01-27,4,4,1
2026-01-28,4,4,1
2026-01-29,4,4,1
2026-01-30,4,4,1
2026-01-31,4,4,1
2026-02-01,4,4,1
2026-02-02,3,3,0
2026-02-03,3,3,0
2026-02-04,2,2,0
2026-02-05,2,2,0
2026-02-06,2,2,0
2026-02-07,2,2,0
2026-02-08,2,2,0
2026-02-09,2,2,0
2026-02-10,2,2,0
2026-02-11,2,2,0
2026-02-12,2,2,0
2026-02-13,2,2,0
2026-02-14,2,2,0
2026-02-15,2,2,0
2026-02-16,2,2,0
2026-02-17,2,2,0
2026-02-18,2,2,0
2026-02-19,2,2,0
2026-02-20,2,2,0
2026-02-21,2,2,0
2026-02-22,2,2,0
2026-02-23,2,2,0
2026-02-24,2,2,0
2026-02-25,2,2,0
2026-02-26,2,2,0
2026-02-27,2,2,0
2026-02-28,2,2,0
