signal_id	pair	timestamp_utc	direction	entry_price	sl_price	tp_price	sl_pips	tp_pips	atr	m15_close_24h_ago	m15_close_12h_ago	m15_close_1h_ago	related_eur_usd_24h_change_pct	related_usd_jpy_24h_change_pct	related_gbp_usd_24h_change_pct	day_of_week	hour_utc	is_tokyo_session	is_london_session	is_ny_session
GBP_JPY_01630_20250903_111500	GBP_JPY	2025-09-03T11:15:00+00:00	long	199.094	198.815	199.652	27.9	55.8	0.186	198.823	198.699	198.85	0.097	0.0984	-0.0455	2	11	0	1	0
GBP_JPY_01631_20250903_153000	GBP_JPY	2025-09-03T15:30:00+00:00	long	199.45	199.27043	199.80914	17.96	35.91	0.119714	198.656	198.843	199.214	0.2669	-0.0645	0.546	2	15	0	1	1
GBP_JPY_01632_20250903_174500	GBP_JPY	2025-09-03T17:45:00+00:00	short	199.042	199.27579	198.57443	23.38	46.76	0.155857	198.384	198.933	199.402	0.0111	0.0594	0.271	2	17	0	0	1
GBP_JPY_01633_20250904_110000	GBP_JPY	2025-09-04T11:00:00+00:00	long	199.339	199.16264	199.69171	17.64	35.27	0.117571	198.979	199.125	199.066	0.0112	-0.2483	0.3506	3	11	0	1	0
GBP_JPY_01634_20250904_154500	GBP_JPY	2025-09-04T15:45:00+00:00	long	199.497	199.28518	199.92064	21.18	42.36	0.141214	199.656	198.976	199.268	-0.0189	-0.2004	0.1229	3	15	0	1	1
GBP_JPY_01635_20250905_000000	GBP_JPY	2025-09-05T00:00:00+00:00	short	199.376	199.49739	199.13321	12.14	24.28	0.080929	198.998	199.333	199.498	-0.0943	0.25	-0.0454	4	0	1	0	0
GBP_JPY_01636_20250905_084500	GBP_JPY	2025-09-05T08:45:00+00:00	long	199.465	199.36129	199.67243	10.37	20.74	0.069143	199.031	199.509	199.354	0.1845	-0.0371	0.2517	4	8	1	1	0
GBP_JPY_01637_20250905_091500	GBP_JPY	2025-09-05T09:15:00+00:00	long	199.588	199.46757	199.82886	12.04	24.09	0.080286	199.017	199.559	199.327	0.1485	0.029	0.1511	4	9	0	1	0
GBP_JPY_01638_20250905_093000	GBP_JPY	2025-09-05T09:30:00+00:00	long	199.613	199.48743	199.86414	12.56	25.11	0.083714	199.101	199.495	199.369	0.1485	0.029	0.1511	4	9	0	1	0
GBP_JPY_01639_20250905_124500	GBP_JPY	2025-09-05T12:45:00+00:00	long	199.751	199.57154	200.10993	17.95	35.89	0.119643	199.337	199.335	199.566	0.3865	-0.0991	0.3066	4	12	0	1	0
GBP_JPY_01640_20250905_151500	GBP_JPY	2025-09-05T15:15:00+00:00	short	199.367	199.57421	198.95257	20.72	41.44	0.138143	199.192	199.445	199.741	0.7565	-0.762	0.5952	4	15	0	1	1
GBP_JPY_01641_20250905_173000	GBP_JPY	2025-09-05T17:30:00+00:00	short	198.745	199.07736	198.08029	33.24	66.47	0.221571	199.494	199.327	199.277	0.8759	-1.1161	0.6926	4	17	0	0	1
GBP_JPY_01642_20250905_230000	GBP_JPY	2025-09-05T23:00:00+00:00	long	199.181	199.04386	199.45529	13.71	27.43	0.091429	199.498	199.535	199.132	0.6164	-0.7402	0.5405	4	23	0	0	0
GBP_JPY_01643_20250908_000000	GBP_JPY	2025-09-08T00:00:00+00:00	long	199.963	199.72686	200.43529	23.61	47.23	0.157429	199.375	199.609	199.184	0.57	-0.3282	0.4452	0	0	1	0	0
GBP_JPY_01644_20250908_013000	GBP_JPY	2025-09-08T01:30:00+00:00	long	200.138	199.82921	200.75557	30.88	61.76	0.205857	199.454	199.707	199.819	0.4893	-0.033	0.396	0	1	1	0	0
GBP_JPY_01645_20250908_100000	GBP_JPY	2025-09-08T10:00:00+00:00	short	199.671	199.83836	199.33629	16.74	33.47	0.111571	199.413	199.132	199.939	0.4718	-0.4608	0.3832	0	10	0	1	0
GBP_JPY_01646_20250908_220000	GBP_JPY	2025-09-08T22:00:00+00:00	short	199.725	199.85304	199.46893	12.8	25.61	0.085357	199.132	199.668	199.915	0.384	-0.0312	0.357	0	22	0	0	0
GBP_JPY_01647_20250909_081500	GBP_JPY	2025-09-09T08:15:00+00:00	short	199.532	199.65436	199.28729	12.24	24.47	0.081571	199.906	199.946	199.691	0.5429	-0.8621	0.615	1	8	1	1	0
GBP_JPY_01648_20250909_111500	GBP_JPY	2025-09-09T11:15:00+00:00	short	199.068	199.31732	198.56936	24.93	49.86	0.166214	199.496	199.766	199.749	0.2395	-0.7177	0.4485	1	11	0	1	0
GBP_JPY_01649_20250909_180000	GBP_JPY	2025-09-09T18:00:00+00:00	long	199.296	199.08718	199.71364	20.88	41.76	0.139214	199.936	199.821	198.997	-0.24	-0.2405	-0.1107	1	18	0	0	1
GBP_JPY_01650_20250910_164500	GBP_JPY	2025-09-10T16:45:00+00:00	long	199.72	199.52264	200.11471	19.74	39.47	0.131571	199.06	199.308	199.607	-0.1882	0.3214	0.0089	2	16	0	0	1
